입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
"메뉴선택할때 음식명 아래에 👍92%(12) 되어있는데,저숫자 12터치하면 그음식에 대한 후기만 모아서 볼수있으면 좋겠어요. 그리고 사진후기만 본다던지,후기전체를 본다던지, 최신후기순서로 본다던지, 낮은별점순서로 본다던지 그음식에 대한 후기를 보는게 세분화되면 편하겠어요",맛,기타,긍정,91.0%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
1인분인데 양이 심각하게 작아요ㅠㅠㅠ,가격/양,기타,부정,99.5%,가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
검색이 쉬워졌다고 안내뜨더만 업데이트도 암덧도 없음. 그리고 수수료 인상한다니 이제 안쓸듯. 거의 매일같이 주문해서 쓰던 배민이였는데 byebye~,일반,기타,애매,93.1%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
어르신들 사용하기 굉장히 어렵네요 그리고 첫 주문 할인쿠폰 두 개 주고는 두 번째 거는 못 쓰게 함🤷‍♂️🤷‍♂️🤷‍♂️,일반,기타,애매,97.3%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
분위기는 좋았으나 식기류가 너무 지저분해서 정말 실망했습니다.,일반,기타,애매,99.5%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
향기가 오래지속됨 너무너무 좋아요,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
그지같은이벤트해서 30분째 주문해서 거의 다됐는데 쿠폰을 선택을못하네 감당못할꺼면 이딴이벤트하지마라,일반,기타,애매,99.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
다 좋은데 배터리 소모부분에서 원인이 이녀석이었음. 나만 그런건가 싶었는데 다른분도 그렇다고 하시니 저 혼자만의 착각이 아니었네요. 센터가서 초기화하니까 다시 돌아온 배터리 소모율.,일반,기타,애매,88.9%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
배달어플여러개 이용해봤는데 배달의민족이 최고에요,배달,기타,긍정,99.7%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배달도 빠르고 다양하게 배달되니까 좋긴한데 결제 할때 한번 더 확인 되는 시스템 이였으면 좋겠네요 바로 결제가 되니 좀 불편한점이 있네요 그거말고는 완전 만족해요,"배달, 가격/양",기타,긍정,99.8%,"배달, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
스포티파이 3개월무료 이용하려다 앱깔다가 구글100원유료 한달무료로 본의아니게 이용하게 되었는데요. 3 월에도 스포티파이 이벤트해주세요.,일반,기타,애매,65.9%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
배달어플이 저한테 잘맞는거 같아요 원하는 메뉴를 빨리 찾을수 있어서 편하고 좋아요,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
크리스마스케이크 싸게 샀어요 최공!,일반,카페 및 디저트,애매,99.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
"쿠팡이츠 사용하지마세요. 자기네들 실수를 고객의 손해로 마무리합니다. 배달완료라고 알림 왔는데 배달은 안 와서 서비스센터에 전화했더니 라이더와 통화해보고 알려준다고 하더군요. 20분이나 지난 후, 라이더가 배달 중에 차가 막혀서 배달을 포기했다는 말을 하더군요. 이게 무슨 말인지 궤변인지. 그래서 재주문하래서 재주문했더니 한참 후 문자가 옵니다. 재주문이 취소됐데요. 선결제했는데 환불 얘기가 없어서 전화를 했어요. 당신들 잘못으로 배달도 안 돼고, 재주문도 취소됐는데 문자로 취소건만 알리고 환불얘기는 없냐.이게 고객 대응법이냐 했더니 환불해준다고하더군요. 전화 끊고 잠시 후 쿠팡이츠에서 전화가 왔어요. 자기네 실수로 재주문이 2번 돼서 한건은 취소됐는데 한건은 배달중이니 음식 받아서 먹고, 환불은 안 해준데요. 시간이 대략 2시간이나 지났기에 , 당신들 실수니 난 음식 필요없고 환불해달라고 해서 겨우 환불 받았어요. 이런 말도 안되는 대응법으로 고객을 농락합니까?","맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
내돈주고 주문하면서도 불친절함에 전화주문시 가끔 짜증날때가 있는데 앱으로 통화없이 결제하고 넘 편합니다~^,일반,기타,긍정,97.9%,가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배달어플중 가장 빠르게 배달와요 배달어플중 유일하게 gps조회가 되서 내음식이 지금어디쯤있는지 알수있어서 좋아요 이제 다른배달어플 속터져서 못쓰겠어요 진심입니다 배달 속도가 단연 최고,"맛, 배달",기타,긍정,99.8%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
지금도 쿠폰써서 주문했지만 1장밖에 없어서 아쉬웠어요ㅜ 담부턴 2장이상 있었으면 좋겠습니다!,일반,기타,애매,98.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
편리해요. 근데 결제가 가입자명의카드만되서ㅜㅡㅠ 친구것으로도 가능했음 합니다~,일반,기타,애매,99.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
이제 리뷰안쓸께요 그리고 한집배달은왜 원산지 표시가없나요? 중국산김치때문에 찝찝한데 ~ 그리고 배달은 왜이렇거늦어요? 사람을더 뽑든지 으그 가면갈수록 지우고싶네,배달,기타,부정,95.7%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
쿠팡이츠 기사님들도 모두 넘 친절하시고 넘 좋아요~ 배달가능지역이 빨리 널리널리 추가되었으면 더욱 좋을꺼같아요,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
진짜 개악. 중 개악 소비자 기만이 따로있지 쿠팡이츠가 잇어서 다행임. 아니 한집배달 신속배달 주문금액 최소기준잇어서 충족하면 뭐함. 바쁘다고 주문이 안된다길래 신속배달로 하고 결제했는데 뭐 포장주문이 접수되었다고? 밤 10시55분에 치킨먹는데 ㅋ 미친. 매당 전화하니까 튀겨서 안된다고 취소가. 하. 10 열받아서 뭐라하니 요기요는 규정상 11시되면 신속배달? 아니 뭐 같이 배송해주는 그런게 원래 안된다는데 안내가 미흡했다나 모래나. 어처구니가 없네 열받지만 가게 잘못은아니여서 내가 배달료 그냥 보내주고 받았는데 몇천원땜에 기분 아주 잡쳣다 덕분에 7년동안 쓴 요기요도 byebye 모 나같은 소비자 한명없다고 달라질건없겠지만 이따구로 운영하는게 너무 분하고 열받아서 적는다 잘꺼져라 요기요,배달,패스트푸드,긍정,99.4%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
"리뷰 쓸 때, 첨부할 사진을 찾기 위해 사진 목록을 띄워주는 창에서, 정사각형으로 잘린 사진만 확인 가능해서 불편합니다. 그 잘린 틀 안에선 보이지 않는 사진의 외각 어느 부분에 개인정보나 신상정보 등의 이유로 올리지 않는 게 나을 정보가 있는지 모르는 거니까요. 사진을 선택한 후 리뷰를 올리는 전 과정에서 전체 사진을 확인할 방법이 전혀 없습니다. 사진 선택와 삭제만 가능해요. 리뷰를 올리고 나면 수정도 불가능한데도요. 매번 갤러리 앱 따로 열어서 확인해가며 리뷰 쓰고, 필요하다면 따로 크롭하기가 아주 번거롭네요. 사진 전체보기 기능이 생겼으면 하고, 가능하다면 크롭해서 올리기 기능 또한 추가되었으면 합니다. 리뷰를 쓰는 데 필요한 단계가 추가되니 심리적 장벽이 생겨서 갈수록 리뷰를 안 쓰게 되네요.",일반,기타,애매,81.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
비마트 배달 최악 도착 예정시간 30분 지났는데 라이더 같은 자리에서 이동 없이 계속 있길래 문의 넣었는데 빠르게 배달 요청 드릴게요 답변 끝. 심지어 그 후로도 이동안하고 계속 그 자리. 무슨 일이 있어서 지연이 되면 라이더랑 연락해서 안내를 해줘야지 그냥 빠르게 배달 도와드릴게요 하면 끝인가 내가 언제까지 기다려야하는지도 모르고 뭐땜에 기다려야하는지도 모르는데 ㅋ그냥 어이없어서 취소했고 다신 안씀 물건 한시간 넘게 기다렸는데 언제 올지 기약도 없으면 그냥 내가 편의점 가서 사왔지 아오,"맛, 배달",기타,부정,99.5%,배달에서 만족도가 높고 맛에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
너무 맛있어 이집에서만(강릉교동택지점)주문해서 먹습니다 담백하고 깔끔한맛이 최고입니다,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
음식점 전체보기 만들어주세요 전체보기 무슨 일을 하던지 목록을 나열하는 일에서 전체보기는 무조건 가장 중요하게 제일 먼저 들어가야 하는 당연한 기능인데 이게 나온지 몇년인데 아직까지 전체보기가 없다는 거에 기가차다. 이해가 안된다 너무 불편하다,맛,기타,부정,98.7%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
오배송ㅡ 식사 한시간지연! 아파트 몇동인지 확인도 안하고 배달하는 라이더는 무슨 배짱이냐? 아마추어들 데리고 장사할꺼면 배민은 알뜰배송 없애라! 고작3천원쿠폰으로 배상? 허구언날 주는 쿠폰으로 떼워서 또 주문시켜 해먹으면 니들만 이득이지 ㅡ 얼탱이가없네 ㅡ 바로 3천원을 환불해주던지 해야지 ㅡ 고객을호구로 생각하는 장사꾼들ㅡ,"맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
절대 쓰지마세요^ 여기 제가 주문을 4번정도 했는데 초반에는 배달료 무료고 해서 잘 이용 했는데 한번은 취소당했구요 오늘은 대박인게 예상시간이 30분정도 걸린데서 주문을 했는데 처음 배달이용현황에 33분 뒤 도착이래서 가만히 기다렸는데 시간이 지나도 안오길래 또 46분이 추가가 됬더라구요^ 총 1시간 30분 가량 걸린다는데 이럴거면 주문도 안했을 거고 말도 없이 그냥 어플에서 시간이 늘어났더라구요 그래서 전화해서 물어봤더니 그건 예상 시간이지 확정시간이 아니니깐 늘어날 수도 있다는 식이네요^ 그리고 1시간 지나야 환불이 된다니깐 다들 참고하세요,"맛, 배달",기타,부정,99.3%,배달에서 만족도가 높고 맛에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
배달빠르고 배♡보다 쿠폰할인도 많은듯하고 배달비 더 저렴한가게들이 많아서 매우 만족해요 배달도 빠름빠름 쿠팡에 또 한번반함 ㅋ,"배달, 가격/양",기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
서버 관리 굉장히 별로,일반,기타,애매,99.0%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
광고에 짜장면도1인분배달 가능하단 광고가 생각나서 짜장면시킬려고 앱깔았는데 . 다른배달앱이랑 같네요 최소금액만원 부터면 짜장면1인분 배달이 가능한게 아니네요 . 실망입니다,배달,중식,부정,99.3%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
좋은데 한번씩 접속이 잘 안됩니다. 폰이 문제라고 하기엔 다른 배달앱은 잘됩니다.,배달,기타,긍정,97.6%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배달주소를 설정하는데 지역명+아파트명 이렇게 입력해도 없는 주소라고 뜨고 혹시몰라서 다른 아파트도 검색해봤는데 다 없는 주소라고 떠요 위치정보 켜고 지도로 설정하려고해도 지도를 불러올 수가 없대요,배달,기타,부정,98.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
결제 종류 다양하고 어플 간편하니 주문 편하네요,"맛, 가격/양",기타,긍정,99.8%,"맛, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
하.패스트푸드 선택창에 버거킹 좀. 패스트부트 선택창 들어바서 버거킹 찾아보는데 분명 광고에서 버거킹도 우리민족이라면서.왜 없는거지.해서 아직 안 들어왔나 했는데.이벤트로 들어가야 하던데.그것도 모르고 다른곳에서 시켰네여.ㅠ 추가좀 해주세요ㅠ 배민을 더 많이 쓰는데ㅠ,일반,패스트푸드,애매,64.6%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
안녕하세요. 배달의 민족에서 판매자겸 소비자로서 두가지 제안 드립니다. 첫번째. 가족계정으로 결재시에 대표자이외 가족구성원도 쿠폰을 사용할수있도록 개선되었으면 좋겠습니다. 두번째. 배민에 입점되어있는 가게 입장에서 배달팁을 따로 받지않고 음식가격에 포함시키는 정책을 할경우 매장 가격보다 비싸질수 밖에 없습니다. 그러면 배민 포장주문도 원래 매장가격과 달리지니 포장주문은 사용을 못하고 있네요. 배달 가격과 포장가격을 다르게 설정할수 있으면 좋겠습니다.,"맛, 배달, 가격/양",기타,긍정,76.7%,"맛, 배달에서 만족도가 높고 가격/양에서 아쉬움이 보여 종합적으로 긍정 분석되었습니다.",
"배달료도 없었고,배달시간도 잘지키고 편리한앱이네요~^","맛, 배달",기타,부정,99.8%,맛에서 만족도가 높고 배달에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
"그 리뷰에 분노하신 고객분이 배달 기사한테 요청사항 안들어줬다는 딸배라는 단어 흑인 한테 N단어랑 같은데, 요청사항 안들어줬다고 칼부림을 하겠다느니. 애들도 봅니다. 운영자분이 버젓이 읽으시고 리뷰까지 다셨던데 그거는 제재가 없나요? 블러처리나. 그냥 허용인가요? 애들도 이용하는 배민 19금 15세이상 등으로 올려야되나요?; AI 한테 맡겨놓고 알람 울리는것만 처리하시는것 같은데 댓글도 레파토리 3~5개 상황에 맞게 끼워넣고, 그럴수 있습니다. 그런데 뒤늦게 확인 하셔야지, 댓글 달았던 인간이나 그걸 보고도 그냥 넘긴 배민 운영자분이나 어른들 아닙니까? 스스로들 안부끄러운지 모르겠습니다. 컨펌은 AI가 아니고 본인들이 하는겁니다. 그런데 AI가 안했는데 그냥 넘어갔다면 그건 더 충격이고요.신고해서 블라인드는 된것 같습니다만, 일반적인 상식과 일반적인 윤리는 있어야 짐승이랑 구분되는것 아닌가요, 방관도 문제 있는겁니다.신고를 제가 보고 했습니다. 그동안은노출되고있었고요","맛, 배달",기타,부정,99.3%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
주문을 편하게 할수있어 좋네요,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
주소지마다 배달요청메세지가 별도로 저장되었으면 좋겠어요. 점심은 직장에 저녁은 집에서 보통 먹는분들 많을텐데 주소지 바꿀때마다 현관들어오는 비밀번호 매번적는게 불편하네요.,배달,기타,애매,89.4%,문맥 분석 결과 최종적으로 애매 판정을 내렸습니다.,
배달기사분이 잘안잡히지만 그래도 배송비줄일수 있어서 좋아요~,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
선물 사용이 한번에 한번이라네요. 황당. 내가 받은 선물 내가 못쓰는. 다시는 이런거 선물 서로 안주고 받으려구요.,일반,기타,애매,99.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
배달 온 음식 양이 말도 안 되게 부실해요,"맛, 배달, 가격/양",기타,부정,99.5%,"맛, 배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
1인분인데 양이 턱없이 조금이에요ㅜㅜㅜ,가격/양,기타,부정,99.4%,가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
양도 많고 괜찮았지만 식기류가 너무 지저분해서 돈 아까워요.,가격/양,기타,긍정,99.5%,가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
메뉴를 맘대로 고를수 있어 편리하고 배송도 빨라 좋았습니다~쿠팡이츠가 많이 애용 될것 같습니다,일반,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
불량 배달원들의 관리가 안되는지요? 자동차로 배달이 오면 포장을 개봉을 하거나 재포장을 해서 배달이 와서 내돈 내산으로 3번이나 버렸습니다. 이거 고객센타에 여러번 항의를 했고 개선을 요청을 했습니다. 자동차로 배달이 오면 취소를 해야 합니다. 피해를 입고도 내가 이상한 사람이 되어 버립니다. 손님이 가게에 포장을 봉인을 해서 보내라고 했는데 배달기사들이 그 봉인을 훼손을 하는것은 누가봐도 뻔한거 아닌지요. 실수로 찢어진게 아니라 일부로 개봉을 해서 가져 옵니다. 쿠팡이건 배민이건 불량 배달 기사들을 퇴출을 시켜야 이산업이 신뢰를 할수가 있습니다. 불량 배달 기사들은 퇴출을 시키고 우량 배달 기사들로 안전하게 배달을 받을수 있도록 해주세요. 취소를 하는 사람도 정말 미안한 마음입니다. 불안해서 어떻게 먹으라고 합니까. 사고는 누구들이 치고 욕은 왜 소비자가 먹어야 하나요?,배달,기타,부정,99.1%,"배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
저번에 주문하고 결제까지하고 기다리고있었는데 30분만에 배달은 안왔는데 배달완료떠서 30분 더기다리고 가게에 전화했었음. 가게는 앱문제니까 고객센터에 전화하라하고 결국 밤에 고객센터 전화해서 환불은 받았는데 앱기능에 문제가 있다는걸 확인함. 지금은 또 무슨이유인지 몰라도 평소에 시켰던 가게들 현재위치에서 주문불가뜨는데 앱기능에 매우 문제있나봄.,배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
"세부사항 재 확인 전화 주시고, 배달도 빨랐습니다.",배달,기타,긍정,99.7%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
여긴 찐입니다. 먹는 내내 행복했습니다. 평생 장사해 주세요. 제발요.,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
세상멍청한라이더들밖에없음 집 근처에서 뱅글뱅글 집 앞에 와도 어리버리 하다가 전화 걸고 속이 터짐,일반,기타,부정,99.3%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
지속적인 성장에는 꾸준한 노력이 있다는걸 알고 있습니다. 소비자 뿐 아니라 가게사장님과 배달라이더까지 생각하여 여러 아이디어를 실천하고 노력해주셔서 감사해요. 덕분에 편리하고 든든하게 잘 먹고 있습니다. ^b,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
실시간 배달현황 조작이 가능함. 오토바이 이동경로 계속 보고있는데 갑자기 우회하더니 2군데 더 돌다가 오셔서 고기 다 식음. 갑자기 집 근처에서 픽업했다고 알람뜨고 5분만에 도착. 이게 무슨 한집배달이야. 캐츠프레이즈 집어치어라!,"맛, 배달",기타,부정,99.3%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
뒤늦게 시작했지만 편리하게 잘활용하고있어요^,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
늘 배달비고 그렇고 좋음,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
만나서 결제도 서비스선물좀 받게해주시죠? 어떤곳은 바로결제만 서비스 선물 준다고만 되있네요 비아피 계속 유지중인 고객들한테는 좀 더 다양한 쿠폰 이벤트좀 해주세요 앱 자체에 맛집들이 다른곳보다는 많이 포진되어있지만 정작 자주 시켜먹는 배민러들한테 서비스가 떨어짐 계속 이런 시스템이면 갈아탈 의향있씀,"맛, 가격/양",기타,긍정,57.1%,"맛, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
